appId,title,score,genre,price,free,description,developer,installs,keyword,country,uncleaned_LLM_features,features_processed,consolidated_features,AI_maturity
com.modernizingmedicine.patientportal,APPatient,3.4458203,Medical,0,TRUE,"Welcome to APPatient™, the end-to-end patient engagement app created for Modernizing Medicine® patients and providers.

APPatient™ is a mobile, fully-functional patient engagement app that can help both patients and providers save time. Patients can access telehealth and information, and push notifications can keep them up to date on primary medical concerns.  Practices with Premium Patient Connect can take advantage of 24-hour online check-in, expediting intake paperwork. It can also help providers treat patients on the go.

APPatient Patient Benefits:

- Chat allows you to communicate with your healthcare team.
- Request prescription refills from your phone.
- Access your medical records on the go.

APPatient Provider Benefits:

- Allows patients to access their healthcare records directly.
- Communicate with patients.
- Access patient information stored in EMA® from your phone.
- Lab and test results can be accessed by patients.
- Use your existing Patient Portal username and password to log in. 

For log in assistance, please contact your physician’s office.",ModMed,"1,000,000+",Patient engagement,us,"['chat with healthcare team', 'request prescription refills', 'access medical records', '24-hour online check-in', 'expedited intake paperwork', 'communicate with patients', 'access patient information', 'view lab and test results', 'log in with patient portal credentials']","['chat healthcare team', 'request prescription refill', 'access medical record', '24hour online checkin', 'expedited intake paperwork', 'communicate patient', 'access patient information', 'view lab test result', 'log patient portal credential']","['request prescription refill', 'access medical record', 'communicate patient', '24hour online checkin', 'chat healthcare team', 'log patient portal credential', 'expedited intake paperwork', 'view lab test result']",1
com.internetbrands.patientengage,Patient Engage Mobile,4.6,Medical,0,TRUE,"Patient Engage Mobile lets you easily manage and run your business from anywhere with instant access to your most valuable information: clients, schedule, appointment requests, and two-way text conversations. 
 
The app automatically syncs to your practice management system and Patient Engage portal, giving you all the information and tools you need to seamlessly manage your business right from your smartphone. 
 
The mobile app is free for all Patient Engage customers. All you need is your Patient Engage username and password to get started. 
 
Patient Engage Mobile key features:

1. Set and confirm appointments from anywhere
2. Search for clients and view their personal details, appointment history, communication preferences & more
3. View, accept and/or reschedule appointment requests
4. Send secure messages to clients without leaving the app
5. Text back and forth with clients in the app using your business phone number
6. Target messages to clients with appointments in a specified date range",MH Sub I LLC,"1,000+",Patient engagement,us,"['set and confirm appointments', 'search client details', 'view appointment requests', 'send secure messages', 'text with clients', 'targeted messaging']","['set confirm appointment', 'search client detail', 'view appointment request', 'send secure message', 'text client', 'targeted messaging']","['targeted messaging', 'search client detail', 'send secure message', 'text client', 'view appointment request', 'set confirm appointment']",1
com.mdsol.aquila,Patient Cloud,4.3168316,Health & Fitness,0,TRUE,"Medidata Patient Cloud eCOA provides a single app for ePRO, ClinROs and site mode functionality to better integrate workflows. It changes the information flow and management of patient engagement for patients, clinical researchers, and healthcare professionals. A single app for all users enables clinicians and investigators to assist patients with accessing PRO instruments where appropriate.

Patients: Download Patient Cloud eCOA app for free, receive an invitation from your doctor and you can participate in a clinical trial — it's that easy! Patient Cloud eCOA lets you answer clinical trial questionnaires from the comfort of your own home, or wherever is convenient for you. 

Healthcare professionals: Patient Cloud eCOA allows you to invite patients to your studies and have them provide health data using their mobile devices. Patient Cloud eCOA simplifies the patient reported component of your clinical trials. 

Clinical Researchers: Patient Cloud eCOA is part of the Medidata platform, including Medidata Rave®.  It frees you from reliance on proprietary devices and reduces study setup time and effort.  By leveraging Rave, you can build your own questionnaires and easily make them available for patients. Entered data is accessible to you and your partners immediately. As part of the Medidata platform, the full functionality of the platform is at your fingertips. 

Contact Medidata Solutions today to get started right away!",Medidata Solutions,"100,000+",Patient engagement,us,"['download patient data', 'answer clinical trial questionnaires', 'invite patients to studies', 'provide health data', 'simplify patient reported component', 'build own questionnaires', 'make questionnaires available', 'access entered data', 'reduce study setup time', 'free from proprietary devices']","['download patient data', 'answer clinical trial questionnaire', 'invite patient study', 'provide health data', 'simplify patient reported component', 'build questionnaire', 'make questionnaire available', 'access entered data', 'reduce study setup time', 'free proprietary device']","['provide health data', 'make questionnaire available', 'build questionnaire', 'access patient information', 'answer clinical trial questionnaire', 'free proprietary device', 'simplify patient reported component', 'invite patient study', 'access entered data', 'reduce study setup time']",1
com.qvik.mrpatient,Patient Records & Appointments,2,Medical,0,TRUE,"<b>Mr.Patient (EMR) - Patient Records & Appointments for Doctors</b>

Mr.Patient (EMR) included each and every thing that's required by any clinic/Medical center.

App is a managed patient medical records, patient visit History, patient appointments , billing, and reports. 

<b> 10 Days Free Trial - No required credit Card </b>

Mr.Patient (EMR) will make doctor practice easy and say no to paper works.

Easily search previous medical history of your patients.

Now, Doctor have no worry about expensive software and hardware

<b>Free Trial Features:</b>
◾ Managed patient's appointments
◾ Managed patient's medical records & visit history
◾ Upload Patient Reports
◾ Upload Patient Medical Documents(audio, video & images)
◾ Managed Billing
◾ Reschedule next appointment


<b>Pro Version Features: </b>
◾ Free Trial Features
◾ Backup & Restore Data
◾ Add Multiple Clinic
◾ Print Prescription & Report
◾ Share Prescription & Report
◾ Use Templates for Medication, Patient info & Medical Record Notes
◾ Add new medication Templates
◾ Future enhancements

Using Mr.Patient practice management app, you can manage all your patient records such as personal information, medical reports, medication, visit history, clinical notes, patient history, and other notes.

 Appointments for your patients can be easily handled using the Mr.Patient app.",Qvik Technologies,"10,000+",Patient engagement,us,"['managed patient appointments', 'managed patient medical records', 'upload patient reports', 'upload patient medical documents', 'managed billing', 'reschedule next appointment', 'backup and restore data', 'add multiple clinics', 'print prescription and report', 'share prescription and report', 'use templates for medication', 'add new medication templates', 'future enhancements', 'search previous medical history', 'no paper works']","['managed patient appointment', 'managed patient medical record', 'upload patient report', 'upload patient medical document', 'managed billing', 'reschedule next appointment', 'backup restore data', 'add multiple clinic', 'print prescription report', 'share prescription report', 'use template medication', 'add new medication template', 'future enhancement', 'search previous medical history', 'paper work']","['add multiple clinic', 'future enhancement', 'upload patient report', 'add new medication template', 'use template medication', 'managed billing', 'share prescription report', 'paper work', 'print prescription report', 'search previous medical history', 'managed patient medical record', 'reschedule next appointment', 'backup restore data', 'managed patient appointment', 'upload patient medical document']",1
com.conehealth.android,myConeHealth,3.804878,Medical,0,TRUE,The Patient Engagement Cloud,The Moses H. Cone Memorial Hospital Operating Corp,"10,000+",Patient engagement,us,"['patient engagement platform', 'secure patient data storage', 'personalized patient experiences', 'real-time patient feedback']","['patient engagement platform', 'secure patient data storage', 'personalized patient experience', 'realtime patient feedback']","['personalized patient experience', 'patient engagement platform', 'secure patient data storage', 'realtime patient feedback']",1
ic.mobile.patientportal,Patient Portal,3.4455445,Health & Fitness,0,TRUE,"The Patient Portal app, powered by InteliChart, offers a simple and convenient way to access your medical records, manage appointments, and interact with your health care providers.

With the app, you can:


* Schedule and view upcoming appointments
* View lab results, details and history
* Request medication refills
* Send secure messages to your provider
* Complete forms
* Easily manage your account or dependent accounts
* Receive push notification reminders
* View and pay your medical bills


Important Notes:

Before using this app, you will need to acquire an account PIN number directly from your provider. You will not be able to log-in to the Patient Portal without this PIN number. If you need assistance with your account PIN or the app itself, please contact your healthcare provider directly. InteliChart does not have access to this information.

What you can see and do within the Patient Portal app depends on which features your doctor has enabled. If you have questions about the features that are available to you or you notice certain functionality is missing, please contact your healthcare organization directly.","InteliChart, LLC","50,000+",Patient engagement,us,"['schedule upcoming appointments', 'view lab results', 'request medication refills', 'send secure messages', 'complete forms', 'manage account', 'receive push notifications', 'view and pay medical bills']","['schedule upcoming appointment', 'view lab result', 'request medication refill', 'send secure message', 'complete form', 'manage account', 'receive push notification', 'view pay medical bill']","['manage account', 'view lab test result', 'send secure message', 'schedule upcoming appointment', 'request prescription refill', 'receive push notification', 'view pay medical bill', 'complete form']",1
com.athenahealth.athenapatient,athenaPatient,4.840748,Medical,0,TRUE,"athenaPatient is only available for patients whose healthcare providers have instructed them to download and use the app. 

Access your health information and communicate with your care team anywhere, anytime.* athenaPatient is a convenient, mobile resource that allows you to:  

- Log in quickly – Facial recognition and touch ID make log in easy while keeping your data safe.  

- View test results – Access lab, imaging, and other medical test results as soon as they become available.   

- Message your care team – Contact your care team whenever you have questions through quick, secure direct messages.

- Self-schedule appointments – Book appointments with your care team and view upcoming visits beyond regular office hours. Your provider(s) must support Self-Scheduling to use this feature. 

- Check in before your visit – Easily check in for appointments and save time by completing any necessary documentation before your arrival. (Your provider(s) must support Self Check-In to use this feature)

- Attend virtual visits – Easily initiate and attend telehealth visits with members of your care team. (Your provider(s) must support virtual visits through athenaTelehealth to use this feature.)  

- Get directions to appointments – Driving directions show you how to get to your next medical appointment. 

Please note that you must have an existing athenahealth Patient Portal account to use athenaPatient. 

Once you’ve downloaded and launched athenaPatient, you must log in using the same email address and password you use to access your provider’s athenahealth Patient Portal to begin using the app. It will ask if you want to enable Face ID or Touch ID. Enabling either of these features will save you from having to enter your login information every time you want to use the app. 

If you do not have your Patient Portal account information, your healthcare provider(s) may offer Patient Portal access through their website. 

If you’re having issues finding your healthcare provider’s Patient Portal, you can contact their office for the correct URL, or to request an email invitation to their Patient Portal.  

* The athenaPatient app is only available for download and viewing information in the United States for patients of healthcare providers on the athenahealth network.",athenahealth,"500,000+",Patient engagement,us,"['log in quickly', 'view test results', 'message care team', 'self-schedule appointments', 'check in before visit', 'attend virtual visits', 'get directions to appointments']","['log quickly', 'view test result', 'message care team', 'selfschedule appointment', 'check visit', 'attend virtual visit', 'get direction appointment']","['log quickly', 'attend virtual visit', 'message care team', 'view test result', 'check visit', 'get direction appointment', 'selfschedule appointment']",3
com.aicure.android.ima,Patient Connect,4.1875,Medical,0,TRUE,"Patient Connect is a mobile application designed to support patients and volunteers as they participate in treatment, clinical trials and research activities. Benefits include:

Treatment Management and Support
Patient Connect provides helpful reminders for essential activities such as taking medication, answering questionnaires and upcoming visits. When it is time to take a dose, the app includes instructive guidance to ensure medication is taken as directed. 

Convenient Assessments
The application enables participants to complete surveys and assessments about their health and treatment quickly and easily on their phone, allowing remote evaluation of progress between in-person visits.

Connected to Care
Patient Connect enables stronger, simpler connections between participants and their care team, and helps healthcare providers offer proactive communication and support between visits. Support and assistance is always available at the patient’s fingertips.  

----
AiCure thanks all who have chosen to contribute their data to help the development of safe, effective treatments to diseases and conditions.",AiCure,"1,000+",Patient engagement,us,"['medication reminders', 'instructive guidance', 'convenient assessments', 'remote evaluation', 'proactive communication', 'support at fingertips', 'connected to care']","['medication reminder', 'instructive guidance', 'convenient assessment', 'remote evaluation', 'proactive communication', 'support fingertip', 'connected care']","['proactive communication', 'connected care', 'convenient assessment', 'instructive guidance', 'medication reminder', 'support fingertip', 'remote evaluation']",1
com.needstreet.health.hp,Virtual Practice Healthcare,3,Medical,0,TRUE,"The Virtual Practice is a complete tool for healthcare providers supporting patient engagement and practice management.  This mobile app includes essential on-to-go features of the Virtual Practice enabling you to manage your patients and practice wherever you are. The app is free to download and use. 
 
Manage your time more effectively, improve patient health outcomes with personalized and continuous care and earn more revenue. 

PATIENT ENGAGEMENT

Video Consultations:  Support your patients in scheduling and paying for telemedicine consultations through your Virtual Practice. Ideal for patient follow-ups. 

Remote Patient Monitoring: Improve health outcomes by remotely monitoring your patients on personalized healthcare plans. Ideal for patients needing chronic care management or after hospital stays.

Text-based consultations: A convenient way to answer patient queries and provide second opinions.

PATIENT HEALTH RECORD

View details of their medications, health conditions, health trackers, medical test reports, allergies, surgeries & procedures, vaccinations and goals. Your patients can also access their own records through your Virtual Practice. 

PRACTICE MANAGEMENT

Appointments: Efficiently manage your time by displaying your consultation timings. Confirm, reschedule or cancel appointments using the app. Your patients will receive SMS and email reminders about upcoming visits to prevent no-shows.

Billing: Set up your services, invoice patients and accept patient payments through your Virtual Practice. 

Notes & Prescriptions: Add clinical notes and prescriptions. 

PRESENCE MANAGEMENT

Patient Portal: The Virtual Practice comes with an integrated Patient Portal can be hosted on your own domain address.  Publish information about your team, services and timings. 
Patient Education: The Health Blog in the Virtual Practice allows you to publish health articles and tips to educate your own patients.

Go to https://www.continuouscare.io/vp-signup/ to set up your own Virtual Practice.",NeedStreet,"10,000+",Patient engagement,us,"['video consultations', 'remote patient monitoring', 'text-based consultations', 'patient health record', 'appointment management', 'billing', 'notes and prescriptions', 'patient portal', 'presence management', 'patient education', 'health blog']","['video consultation', 'remote patient monitoring', 'textbased consultation', 'patient health record', 'appointment management', 'billing', 'note prescription', 'patient portal', 'presence management', 'patient education', 'health blog']","['presence management', 'health blog', 'patient education', 'patient health record', 'patient portal', 'billing', 'remote patient monitoring', 'video consultation', 'appointment management', 'textbased consultation', 'note prescription']",1
com.biofourmis.ipmpatient,Biofourmis Care Patient™,4,Health & Fitness,0,TRUE,"Biofourmis Care™ is a software solution designed to enable site agnostic care by leveraging software and data science to aid clinical care teams in monitoring and managing patients in the comfort and convenience of the home. Biofourmis Care™  supports several clinical conditions (e.g., heart failure, hypertension, diabetes) and spans the care continuum across acuity levels.
 
The Biofourmis Care™ patient-facing app is designed to improve patient engagement, display vital signs, and enable communication between patients and the care team. When the patient or clinician has connected the application to connected devices via Bluetooth, the outputs from these connected devices will automatically be displayed in the mobile app.
 
Disclaimer :  To access Biofourmis Care™, you must seek advice and prescription from your clinician and access information. Once the Biofourmis Care™ app is prescribed, the clinician will register and onboard you on the program.
 
The app is not intended to make any diagnosis or recommendation. You should directly seek your clinician’s advice before making any medical decisions.
 
Currently our hardware has a medical device regulatory clearance for US, Singapore, Thailand, Malaysia, Australia, EU, Hong Kong and we make no representations that the App is appropriate or available for use in other locations. Those who access or use the App from other jurisdictions do so at their own violation and are responsible for compliance with local law.
 
Questions about Biofourmis Care? Email mailto:supportteam@biofourmis.com",Biofourmis Developer,"1,000+",Patient engagement,us,"['patient engagement', 'display vital signs', 'enable communication', 'connected device integration', 'automatic data display', 'clinician registration', 'onboarding process', 'medical device clearance', 'multi-country availability', 'email support']","['patient engagement', 'display vital sign', 'enable communication', 'connected device integration', 'automatic data display', 'clinician registration', 'onboarding process', 'medical device clearance', 'multicountry availability', 'email support']","['connected device integration', 'automatic data display', 'enable communication', 'onboarding process', 'access medical record', 'clinician registration', 'communicate patient', 'multicountry availability', 'email support', 'display vital sign']",2
